id	numPatients	name	source	subtype	mutGenes	patients	pval	expected	n
GO:0042771	5	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	go	BP	HIPK2,TP53,TP73	NP01,NP11,NP12,NP16,NP19	0.001	0.989	1000
GO:0043153	5	entrainment of circadian clock by photoperiod	go	BP	PER1,TP53	NP01,NP11,NP12,NP16,NP19	0.001	0.712	1000
GO:0046827	5	positive regulation of protein export from nucleus	go	BP	CTDSPL2,TP53,XPO4	NP01,NP11,NP12,NP16,NP19	0.001	0.66	1000
GO:0051895	5	negative regulation of focal adhesion assembly	go	BP	BCAS3,MMP14,PTEN	NP11,NP12,NP16,NP17,NP19	0.001	0.551	1000
GO:0090399	5	replicative senescence	go	BP	TP53	NP01,NP11,NP12,NP16,NP19	0.001	0.458	1000
GO:2001244	5	positive regulation of intrinsic apoptotic signaling pathway	go	BP	TP53	NP01,NP11,NP12,NP16,NP19	0.001	1.08	1000
GO:0031642	4	negative regulation of myelination	go	BP	KLK8,PTEN	NP12,NP16,NP17,NP19	0.001	0.257	1000
GO:0032886	4	regulation of microtubule-based process	go	BP	APC	NP04,NP11,NP12,NP19	0.001	0.34	1000
GO:0033555	4	multicellular organismal response to stress	go	BP	PPP3CA,PTEN	NP11,NP12,NP16,NP17	0.001	0.286	1000
GO:0051988	4	regulation of attachment of spindle microtubules to kinetochore	go	BP	APC	NP04,NP11,NP12,NP19	0.001	0.27	1000
GO:0061002	3	negative regulation of dendritic spine morphogenesis	go	BP	PTEN	NP12,NP16,NP17	0.001	0.234	1000
GO:0097107	3	postsynaptic density assembly	go	BP	PTEN	NP12,NP16,NP17	0.001	0.07	1000
GO:1903984	3	positive regulation of TRAIL-activated apoptotic signaling pathway	go	BP	PTEN	NP12,NP16,NP17	0.001	0.105	1000
GO:0007522	2	visceral muscle development	go	BP	MYH6	NP11,NP19	0.001	0.039	1000
GO:0038002	2	endocrine signaling	go	BP	KRAS	NP10,NP17	0.001	0.031	1000
GO:0046902	5	regulation of mitochondrial membrane permeability	go	BP	TP53	NP01,NP11,NP12,NP16,NP19	0.002	0.383	1000
GO:0048147	5	negative regulation of fibroblast proliferation	go	BP	TP53	NP01,NP11,NP12,NP16,NP19	0.002	1.053	1000
GO:0071158	5	positive regulation of cell cycle arrest	go	BP	PKD2,TP53,TP73	NP01,NP11,NP12,NP16,NP19	0.002	0.821	1000
GO:0072332	5	intrinsic apoptotic signaling pathway by p53 class mediator	go	BP	HINT1,TP53,ZMAT4,ZNF385B	NP01,NP11,NP12,NP16,NP19	0.002	0.927	1000
GO:1900740	5	positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	go	BP	TFDP1,TP53,TP73,YWHAB	NP01,NP11,NP12,NP16,NP19	0.002	1.017	1000
GO:0032228	4	regulation of synaptic transmission, GABAergic	go	BP	KRAS,PLCL1,PTEN	NP10,NP12,NP16,NP17	0.002	0.376	1000
GO:0048681	4	negative regulation of axon regeneration	go	BP	KLK8,PTEN,RGMA	NP12,NP16,NP17,NP19	0.002	0.228	1000
GO:0048854	4	brain morphogenesis	go	BP	CDH2,PTEN	NP11,NP12,NP16,NP17	0.002	0.613	1000
GO:0055008	4	cardiac muscle tissue morphogenesis	go	BP	TTN,XIRP2,ZFPM1	NP11,NP12,NP16,NP19	0.002	0.447	1000
GO:0002902	3	regulation of B cell apoptotic process	go	BP	PTEN	NP12,NP16,NP17	0.002	0.114	1000
GO:0007270	3	neuron-neuron synaptic transmission	go	BP	DLGAP2,PTEN	NP12,NP16,NP17	0.002	0.235	1000
GO:0038026	3	reelin-mediated signaling pathway	go	BP	RELN,VLDLR	NP12,NP17,NP19	0.002	0.167	1000
GO:0048251	3	elastic fiber assembly	go	BP	THSD4	NP01,NP16,NP17	0.002	0.249	1000
GO:0055009	3	atrial cardiac muscle tissue morphogenesis	go	BP	MYH6,PROX1	NP11,NP16,NP19	0.002	0.27	1000
GO:1905075	2	positive regulation of occluding junction disassembly	go	BP	TGFB3,TGFBR1	NP04,NP19	0.002	0.083	1000
GO:0030036	7	actin cytoskeleton organization	go	BP	BCR,DOCK2,KRAS,PRKG1,SDCBP,SSH2,TAOK2,XIRP2	NP01,NP10,NP11,NP12,NP16,NP17,NP19	0.003	3.016	1000
GO:0010332	5	response to gamma radiation	go	BP	TP53,TP73	NP01,NP11,NP12,NP16,NP19	0.003	1.009	1000
GO:0031274	5	positive regulation of pseudopodium assembly	go	BP	APC,KIT	NP04,NP11,NP12,NP16,NP19	0.003	0.47	1000
GO:0090200	5	positive regulation of release of cytochrome c from mitochondria	go	BP	MMP9,TP53	NP01,NP11,NP12,NP16,NP19	0.003	0.974	1000
GO:2000379	5	positive regulation of reactive oxygen species metabolic process	go	BP	PID1,TP53	NP01,NP11,NP12,NP16,NP19	0.003	1.039	1000
GO:0002064	4	epithelial cell development	go	BP	B4GALT1,ESR1,ONECUT2,SLC4A5	NP11,NP12,NP16,NP17	0.003	0.438	1000
GO:0007026	4	negative regulation of microtubule depolymerization	go	BP	APC,CKAP2	NP04,NP11,NP12,NP19	0.003	0.555	1000
GO:0060402	4	calcium ion transport into cytosol	go	BP	CACNA1C,CACNA2D1,ITPR3,JPH3,RYR2	NP10,NP11,NP16,NP19	0.003	0.524	1000
GO:2000060	4	positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process	go	BP	FBXW7,PTEN	NP10,NP12,NP16,NP17	0.003	0.528	1000
GO:0007044	3	cell-substrate junction assembly	go	BP	TNS1	NP11,NP12,NP16	0.003	0.216	1000
GO:0021955	3	central nervous system neuron axonogenesis	go	BP	PTEN	NP12,NP16,NP17	0.003	0.147	1000
GO:0032286	3	central nervous system myelin maintenance	go	BP	PTEN	NP12,NP16,NP17	0.003	0.15	1000
GO:0050773	3	regulation of dendrite development	go	BP	DBN1,PREX1	NP11,NP12,NP16	0.003	0.254	1000
GO:0060024	3	rhythmic synaptic transmission	go	BP	PTEN	NP12,NP16,NP17	0.003	0.14	1000
GO:0097105	3	presynaptic membrane assembly	go	BP	PTEN	NP12,NP16,NP17	0.003	0.305	1000
GO:0021511	2	spinal cord patterning	go	BP	RELN	NP12,NP17	0.003	0.04	1000
GO:1902078	2	positive regulation of lateral motor column neuron migration	go	BP	RELN	NP12,NP17	0.003	0.04	1000
GO:0042149	5	cellular response to glucose starvation	go	BP	TP53	NP01,NP11,NP12,NP16,NP19	0.004	1.02	1000
GO:0046677	5	response to antibiotic	go	BP	TP53	NP01,NP11,NP12,NP16,NP19	0.004	0.995	1000
GO:0006921	4	cellular component disassembly involved in execution phase of apoptosis	go	BP	APC	NP04,NP11,NP12,NP19	0.004	0.701	1000
GO:0007094	4	mitotic spindle assembly checkpoint	go	BP	APC,MAD1L1,TTK	NP04,NP11,NP12,NP19	0.004	0.628	1000
GO:0030111	4	regulation of Wnt signaling pathway	go	BP	PLPP3,SENP2,TMEM237,VANGL2	NP01,NP11,NP12,NP19	0.004	0.587	1000
GO:0046685	4	response to arsenic-containing substance	go	BP	PTEN,TNFRSF11B	NP12,NP16,NP17,NP19	0.004	0.462	1000
GO:0021517	3	ventral spinal cord development	go	BP	RELN,VLDLR	NP12,NP17,NP19	0.004	0.209	1000
GO:0046621	3	negative regulation of organ growth	go	BP	PTEN	NP12,NP16,NP17	0.004	0.316	1000
GO:0090286	3	cytoskeletal anchoring at nuclear membrane	go	BP	SYNE1,SYNE3	NP01,NP11,NP16	0.004	0.299	1000
GO:0021897	2	forebrain astrocyte development	go	BP	KRAS	NP10,NP17	0.004	0.068	1000
GO:0031587	2	positive regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity	go	BP	HTT,PKD2	NP11,NP16	0.004	0.099	1000
GO:0090298	2	negative regulation of mitochondrial DNA replication	go	BP	LIG3,PID1	NP01,NP11	0.004	0.069	1000
GO:0016266	6	O-glycan processing	go	BP	GALNT10,GALNT13,GALNT14,GALNT15,GALNT2,GALNT9,MUC16,MUC17,MUC19,MUC2,MUC5B	NP01,NP10,NP11,NP12,NP16,NP17	0.005	1.843	1000
GO:0006284	5	base-excision repair	go	BP	HUWE1,POLQ,RECQL4,TP53	NP01,NP11,NP12,NP16,NP19	0.005	1.111	1000
GO:0043525	5	positive regulation of neuron apoptotic process	go	BP	TP53	NP01,NP11,NP12,NP16,NP19	0.005	1.366	1000
GO:0071479	5	cellular response to ionizing radiation	go	BP	TP53	NP01,NP11,NP12,NP16,NP19	0.005	1.091	1000
GO:0048663	4	neuron fate commitment	go	BP	OLIG2,SMAD4,TGFBR1,ZNF521	NP11,NP16,NP17,NP19	0.005	0.599	1000
GO:0030240	3	skeletal muscle thin filament assembly	go	BP	ACTA1,PROX1,TTN	NP11,NP16,NP19	0.005	0.192	1000
GO:0060044	3	negative regulation of cardiac muscle cell proliferation	go	BP	PTEN,TP73	NP12,NP16,NP17	0.005	0.396	1000
GO:0003220	2	left ventricular cardiac muscle tissue morphogenesis	go	BP	RYR2,SMAD4	NP17,NP19	0.005	0.067	1000
GO:0006289	5	nucleotide-excision repair	go	BP	TP53	NP01,NP11,NP12,NP16,NP19	0.006	1.257	1000
GO:0030212	3	hyaluronan metabolic process	go	BP	ITIH5	NP11,NP12,NP16	0.006	0.443	1000
GO:0050765	3	negative regulation of phagocytosis	go	BP	PTEN	NP12,NP16,NP17	0.006	0.315	1000
GO:0051146	3	striated muscle cell differentiation	go	BP	CDH2,KRAS	NP10,NP11,NP17	0.006	0.316	1000
GO:0090344	3	negative regulation of cell aging	go	BP	PTEN	NP12,NP16,NP17	0.006	0.224	1000
GO:0043065	8	positive regulation of apoptotic process	go	BP	ALDH1A3,APC,ARHGEF12,ARHGEF7,DNM2,KCNMA1,OBSCN,PTN,RPS6KA2,SUDS3,TGFB3,TP53,VAV1	NP01,NP04,NP10,NP11,NP12,NP16,NP17,NP19	0.007	4.858	1000
GO:0007569	5	cell aging	go	BP	TP53	NP01,NP11,NP12,NP16,NP19	0.007	0.895	1000
GO:0001708	4	cell fate specification	go	BP	APC	NP04,NP11,NP12,NP19	0.007	0.643	1000
GO:0060307	4	regulation of ventricular cardiac muscle cell membrane repolarization	go	BP	AKAP9,CACNA2D1,KCNE1,SCN4B	NP10,NP11,NP17,NP19	0.007	0.623	1000
GO:0008354	3	germ cell migration	go	BP	KIT,PLPP3,TGFBR1	NP12,NP16,NP19	0.007	0.317	1000
GO:0045792	3	negative regulation of cell size	go	BP	PTEN	NP12,NP16,NP17	0.007	0.349	1000
GO:0060074	3	synapse maturation	go	BP	PTEN	NP12,NP16,NP17	0.007	0.242	1000
GO:0060736	3	prostate gland growth	go	BP	PTEN,UBE3A	NP12,NP16,NP17	0.007	0.291	1000
GO:0010644	2	cell communication by electrical coupling	go	BP	DBN1	NP11,NP16	0.007	0.121	1000
GO:0060420	2	regulation of heart growth	go	BP	MYH6	NP11,NP19	0.007	0.086	1000
GO:0097461	2	ferric iron import into cell	go	BP	STEAP2,STEAP4	NP16,NP19	0.007	0.101	1000
GO:1904049	2	negative regulation of spontaneous neurotransmitter secretion	go	BP	PPP1R9A,PRKN	NP11,NP17	0.007	0.086	1000
GO:0051262	5	protein tetramerization	go	BP	SBF2,TP53,TP73	NP01,NP11,NP12,NP16,NP19	0.008	1.252	1000
GO:0016358	4	dendrite development	go	BP	PRKG1,RELN,TULP1	NP11,NP12,NP17,NP19	0.008	0.949	1000
GO:0014067	3	negative regulation of phosphatidylinositol 3-kinase signaling	go	BP	PTEN	NP12,NP16,NP17	0.008	0.357	1000
GO:0032507	2	maintenance of protein location in cell	go	BP	DBN1	NP11,NP16	0.008	0.157	1000
GO:0035022	2	positive regulation of Rac protein signal transduction	go	BP	KRAS	NP10,NP17	0.008	0.103	1000
GO:0061577	2	calcium ion transmembrane transport via high voltage-gated calcium channel	go	BP	CACNA1C,CACNA2D1	NP10,NP11	0.008	0.132	1000
GO:0090292	2	nuclear matrix anchoring at nuclear membrane	go	BP	SYNE1	NP01,NP11	0.008	0.122	1000
GO:0060070	6	canonical Wnt signaling pathway	go	BP	APC,CHD8,MYH6,PTEN,RYR2,ZNRF3	NP04,NP11,NP12,NP16,NP17,NP19	0.009	2.354	1000
GO:0030879	4	mammary gland development	go	BP	B4GALT1,HOXD9,IRS2,TGFB3	NP04,NP11,NP12,NP17	0.009	0.75	1000
GO:0035904	4	aorta development	go	BP	DNM2,LRP2,PKD2	NP01,NP11,NP12,NP16	0.009	0.686	1000
GO:1904886	4	beta-catenin destruction complex disassembly	go	BP	APC	NP04,NP11,NP12,NP19	0.009	0.79	1000
GO:0060391	3	positive regulation of SMAD protein import into nucleus	go	BP	SMAD4,TGFB3,TGFBR1	NP04,NP17,NP19	0.009	0.435	1000
GO:0000904	2	cell morphogenesis involved in differentiation	go	BP	RELN	NP12,NP17	0.009	0.116	1000
GO:1901843	2	positive regulation of high voltage-gated calcium channel activity	go	BP	CACNA2D1,FGF14	NP10,NP16	0.009	0.115	1000
GO:1903378	2	positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway	go	BP	FBXW7,PRKN	NP10,NP11	0.009	0.122	1000
GO:0048565	5	digestive tract development	go	BP	CHD8,FAT4,KIT,TGFB3,TRPS1	NP01,NP04,NP16,NP17,NP19	0.01	1.267	1000
GO:0055010	4	ventricular cardiac muscle tissue morphogenesis	go	BP	MYBPC3,MYH6,PROX1	NP11,NP16,NP17,NP19	0.01	0.901	1000
GO:2000134	4	negative regulation of G1/S transition of mitotic cell cycle	go	BP	PKD2,PTEN	NP11,NP12,NP16,NP17	0.01	0.843	1000
GO:0045475	3	locomotor rhythm	go	BP	PTEN	NP12,NP16,NP17	0.01	0.382	1000
GO:0048853	3	forebrain morphogenesis	go	BP	PTEN	NP12,NP16,NP17	0.01	0.374	1000
GO:0060134	3	prepulse inhibition	go	BP	PTEN	NP12,NP16,NP17	0.01	0.46	1000
GO:1904668	3	positive regulation of ubiquitin protein ligase activity	go	BP	PTEN	NP12,NP16,NP17	0.01	0.341	1000
GO:0015677	2	copper ion import	go	BP	STEAP2,STEAP4	NP16,NP19	0.01	0.176	1000
GO:0007626	6	locomotory behavior	go	BP	ALDH1A3,ASTN1,GAA,NEGR1,PTEN	NP10,NP11,NP12,NP16,NP17,NP19	0.011	2.336	1000
GO:0050885	5	neuromuscular process controlling balance	go	BP	ALDH1A3,BCR,GAA,JPH3,NBN,POU4F2,POU4F3	NP10,NP11,NP12,NP16,NP19	0.011	1.433	1000
GO:0050766	4	positive regulation of phagocytosis	go	BP	BCR,DNM2,DOCK2,TULP1	NP01,NP11,NP16,NP19	0.011	1.002	1000
GO:0051491	4	positive regulation of filopodium assembly	go	BP	AGRN,BCAS3,TENM2,TGFB3,TGFBR1	NP04,NP11,NP16,NP19	0.011	0.933	1000
GO:0060412	4	ventricular septum morphogenesis	go	BP	PROX1,SMAD4,TGFBR1,ZFPM1	NP11,NP16,NP17,NP19	0.011	0.981	1000
GO:0060364	2	frontal suture morphogenesis	go	BP	GLI3,TGFB3	NP04,NP17	0.011	0.15	1000
GO:0002576	6	platelet degranulation	go	BP	ACTN1,F5,FGA,ITGA2B,TGFB3,TTN	NP01,NP04,NP11,NP12,NP17,NP19	0.012	2.81	1000
GO:0050731	6	positive regulation of peptidyl-tyrosine phosphorylation	go	BP	CD80,IL11,PLPP3,RELN,TP53,VTN	NP01,NP11,NP12,NP16,NP17,NP19	0.012	2.328	1000
GO:0050680	5	negative regulation of epithelial cell proliferation	go	BP	IFT74,MCC,PTEN,PTN	NP10,NP11,NP12,NP16,NP17	0.012	1.699	1000
GO:0042711	3	maternal behavior	go	BP	PTEN	NP12,NP16,NP17	0.012	0.47	1000
GO:1901522	3	positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus	go	BP	RXRG,SMAD4,SMAD9	NP10,NP11,NP17	0.012	0.362	1000
GO:0010643	2	cell communication by chemical coupling	go	BP	DBN1	NP11,NP16	0.012	0.123	1000
GO:0007173	5	epidermal growth factor receptor signaling pathway	go	BP	EFEMP1,FAM83A,KRAS,NRAS,PLCG1,REPS2	NP10,NP11,NP12,NP16,NP17	0.013	1.677	1000
GO:0000281	4	mitotic cytokinesis	go	BP	APC,CEP55,CKAP2	NP04,NP11,NP12,NP19	0.013	0.988	1000
GO:0045595	4	regulation of cell differentiation	go	BP	APC	NP04,NP11,NP12,NP19	0.013	1.017	1000
GO:0035108	3	limb morphogenesis	go	BP	BMPR1B,GLI3,ZNF141	NP11,NP17,NP19	0.013	0.402	1000
GO:0086002	3	cardiac muscle cell action potential involved in contraction	go	BP	CACNA1C,CACNA2D1,KCNE1,SCN4B	NP10,NP11,NP19	0.013	0.46	1000
GO:0070309	2	lens fiber cell morphogenesis	go	BP	CRYGB,PROX1	NP11,NP16	0.013	0.145	1000
GO:0008285	8	negative regulation of cell proliferation	go	BP	APC,B4GALT1,BCL11B,CDH5,CHD5,COL18A1,CUL4A,CUL5,GAS8,GLI3,GTPBP4,PKD2,PROX1,PTEN,RPS6KA2,SMAD4,TGFB3,TNS2,TP53,TRIM24	NP01,NP04,NP10,NP11,NP12,NP16,NP17,NP19	0.014	5.443	1000
GO:0007050	7	cell cycle arrest	go	BP	APC,CUL4A,CUL5,HEPACAM,NBN,PKD2,TGFBR1,TP53,TP73	NP01,NP04,NP10,NP11,NP12,NP16,NP19	0.014	3.29	1000
GO:0045736	4	negative regulation of cyclin-dependent protein serine/threonine kinase activity	go	BP	APC	NP04,NP11,NP12,NP19	0.014	0.798	1000
GO:0048008	4	platelet-derived growth factor receptor signaling pathway	go	BP	BCR,PTEN	NP11,NP12,NP16,NP17	0.014	0.99	1000
GO:0010761	3	fibroblast migration	go	BP	TNS1	NP11,NP12,NP16	0.014	0.404	1000
GO:0010133	2	proline catabolic process to glutamate	go	BP	PRODH2	NP01,NP17	0.014	0.122	1000
GO:0051385	2	response to mineralocorticoid	go	BP	KRAS	NP10,NP17	0.014	0.157	1000
GO:0010862	5	positive regulation of pathway-restricted SMAD protein phosphorylation	go	BP	SDCBP,SMAD4,TGFB3,TGFBR1,TTK	NP04,NP11,NP12,NP17,NP19	0.015	1.566	1000
GO:0007389	4	pattern specification process	go	BP	APC,RNF111	NP04,NP11,NP12,NP19	0.015	1.041	1000
GO:0030534	4	adult behavior	go	BP	PTEN,SLC1A2	NP11,NP12,NP16,NP17	0.015	0.97	1000
GO:0043542	4	endothelial cell migration	go	BP	PTEN,PTP4A3,TGFBR1	NP12,NP16,NP17,NP19	0.015	0.876	1000
GO:0070830	4	bicellular tight junction assembly	go	BP	APC	NP04,NP11,NP12,NP19	0.015	1.094	1000
GO:0060122	3	inner ear receptor stereocilium organization	go	BP	FAT4,VANGL2,WHRN	NP01,NP11,NP19	0.015	0.489	1000
GO:0086012	3	membrane depolarization during cardiac muscle cell action potential	go	BP	CACNA1C,CACNA2D1,SCN4B	NP10,NP11,NP19	0.015	0.432	1000
GO:0090394	3	negative regulation of excitatory postsynaptic potential	go	BP	PTEN	NP12,NP16,NP17	0.015	0.371	1000
GO:0021800	2	cerebral cortex tangential migration	go	BP	RELN	NP12,NP17	0.015	0.149	1000
GO:0001764	6	neuron migration	go	BP	ADGRL3,ASTN1,NKX6-1,PRKG1,RELN,SDCCAG8	NP10,NP11,NP12,NP16,NP17,NP19	0.016	2.689	1000
GO:0006977	5	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	go	BP	TFDP1,TP53	NP01,NP11,NP12,NP16,NP19	0.016	1.782	1000
GO:0097477	2	lateral motor column neuron migration	go	BP	RELN	NP12,NP17	0.016	0.131	1000
GO:0007507	7	heart development	go	BP	CACNA1C,DNAH5,GLI3,IFT74,PKD2,PTEN,PTN,RPS6KA2,SENP2,TGFBR1,TRPS1,ZFPM1	NP01,NP10,NP11,NP12,NP16,NP17,NP19	0.017	3.763	1000
GO:0008104	5	protein localization	go	BP	TP53	NP01,NP11,NP12,NP16,NP19	0.017	1.721	1000
GO:0003007	4	heart morphogenesis	go	BP	ASXL1,FAT4,FLRT2,GAA,MYBPC3,NIPBL	NP01,NP11,NP16,NP17	0.017	1.115	1000
GO:0021794	3	thalamus development	go	BP	FOXB1,OLIG2,PTN	NP10,NP11,NP16	0.017	0.496	1000
GO:0046855	3	inositol phosphate dephosphorylation	go	BP	PTEN	NP12,NP16,NP17	0.017	0.411	1000
GO:0050804	3	modulation of synaptic transmission	go	BP	PPP3CA,RELN	NP11,NP12,NP17	0.017	0.567	1000
GO:0035308	2	negative regulation of protein dephosphorylation	go	BP	IGBP1,YWHAB	NP12,NP19	0.017	0.187	1000
GO:2000969	2	positive regulation of alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor activity	go	BP	RELN	NP12,NP17	0.017	0.156	1000
GO:0030335	7	positive regulation of cell migration	go	BP	ADAM10,APC,COL18A1,IRS2,KIT,MMP14,ONECUT2,PODXL,SDCBP,SEMA3D,SNAI1,TGFBR1	NP04,NP10,NP11,NP12,NP16,NP17,NP19	0.018	3.831	1000
GO:0035335	6	peptidyl-tyrosine dephosphorylation	go	BP	DUSP22,DUSP9,PTEN,PTP4A3,PTPN13,PTPN23,PTPN4,PTPRF,PTPRN2,PTPRT,SSH2	NP10,NP11,NP12,NP16,NP17,NP19	0.018	2.73	1000
GO:0042953	3	lipoprotein transport	go	BP	LRP2,UNC119B	NP01,NP12,NP16	0.018	0.477	1000
GO:0048148	3	behavioral response to cocaine	go	BP	HOMER2,SDK1	NP11,NP17,NP19	0.018	0.52	1000
GO:0048714	3	positive regulation of oligodendrocyte differentiation	go	BP	CXCR4,OLIG2,TP73	NP12,NP16,NP19	0.018	0.569	1000
GO:0060997	3	dendritic spine morphogenesis	go	BP	EPHB3,PTEN	NP12,NP16,NP17	0.018	0.461	1000
GO:0086016	2	AV node cell action potential	go	BP	SCN4B	NP11,NP19	0.018	0.157	1000
GO:0010001	3	glial cell differentiation	go	BP	CDH2,RELN	NP11,NP12,NP17	0.019	0.477	1000
GO:0021542	3	dentate gyrus development	go	BP	PROX1,PTEN	NP12,NP16,NP17	0.019	0.565	1000
GO:0097114	2	NMDA glutamate receptor clustering	go	BP	RELN	NP12,NP17	0.019	0.172	1000
GO:1900122	2	positive regulation of receptor binding	go	BP	MMP9,PLCL1	NP11,NP12	0.019	0.183	1000
GO:0061343	1	cell adhesion involved in heart morphogenesis	go	BP	FLRT2	NP16	0.019	0.024	1000
GO:0042220	4	response to cocaine	go	BP	ADGRL3,DNM2,HSP90AB1,TACR3	NP11,NP12,NP16,NP17	0.02	1.091	1000
GO:0033700	3	phospholipid efflux	go	BP	ABCA13	NP01,NP04,NP17	0.02	0.565	1000
GO:0035690	5	cellular response to drug	go	BP	HSP90AB1,PPP3CA,TP53	NP01,NP11,NP12,NP16,NP19	0.021	1.938	1000
GO:0051898	4	negative regulation of protein kinase B signaling	go	BP	PKHD1,PTEN	NP11,NP12,NP16,NP17	0.021	1.228	1000
GO:0086091	4	regulation of heart rate by cardiac conduction	go	BP	AKAP9,CACNA1C,CACNA2D1,CTNNA3,KCNE1,SCN4B	NP10,NP11,NP17,NP19	0.021	1.1	1000
GO:0042981	7	regulation of apoptotic process	go	BP	ACTN1,CARD11,ESR1,SARM1,TGFB3,TNFRSF11B,TP53,TP73,TRIM24	NP01,NP04,NP10,NP11,NP12,NP16,NP19	0.022	3.984	1000
GO:0001933	5	negative regulation of protein phosphorylation	go	BP	KIRREL1,PID1,PLPP3,PRKN,PRR5L,PTEN	NP11,NP12,NP16,NP17,NP19	0.022	1.84	1000
GO:0010718	4	positive regulation of epithelial to mesenchymal transition	go	BP	SDCBP,SMAD4,SNAI1,TGFB3,TGFBR1	NP04,NP12,NP17,NP19	0.022	1.107	1000
